type,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,
Accommodation,1324,1007,842,976,708,719,603,737,925,929,795,968,615,693,972,950,1014,876,933,743,596,839,740,825,769,891,710,724,580,594,460,612,651,722,638,710,609,470,521,554,448,865,879,987,1238,1659,1825,1886,1687,1787,1239,1807,1377,1215,1347,978,980,1003,992,728,735,474,880,919,1260,740,1023,1140,1101,909,1416,857,680,888,1122,843,574,997,957,811,631,595,875,1103,701,496,499,831,1543,1107,1285,1085,1434,1188,1318,514,884,873,759,576,632,928,888,602,645,865,997,773,1417,1074,972,495,457,716,856,792,886,620,847,995,749,1003,
Education,2225,1953,2703,1824,1525,1559,1219,1465,1521,1560,1772,1512,1446,1401,1967,1703,1613,1754,1563,1264,1638,2481,1755,1787,1651,1572,1276,1607,1544,1222,1849,1731,1726,1623,1825,1340,1494,1736,2101,1548,1379,1524,2134,2164,2299,2403,2780,4095,3562,3389,2529,3295,3898,2679,3196,1551,1964,2897,2346,1902,1695,1694,2199,2019,3993,1870,3091,2895,2317,1678,2560,2799,2312,2406,2882,1886,1475,2625,2480,3672,3096,2645,2012,2330,2100,2232,2921,2779,2373,2941,3142,2593,2826,2440,4297,1596,1632,1138,1489,1777,1826,2095,1775,1289,1602,1891,2124,1902,3708,2211,1668,1690,2383,2799,3032,2380,2719,2212,2072,3108,2097,2485,
Healthcare & Medical,1247,878,1512,1867,1495,1155,543,1171,1172,772,1409,972,490,744,1155,891,1220,854,592,868,1108,935,963,1116,1602,1473,845,984,812,1204,1100,1492,1205,1026,665,1472,1413,745,1338,1843,1312,593,1348,1899,1847,2076,1703,1225,866,1657,1491,1576,1040,1556,1168,1137,1673,1504,1233,898,1202,732,664,2031,2249,1436,1787,1803,871,646,1276,1273,1030,664,859,624,530,973,1299,1271,995,976,771,598,1158,1305,814,1201,997,758,626,1633,1467,1390,1488,725,547,412,718,875,969,918,866,452,1098,906,675,702,1151,1163,639,608,958,1210,774,865,937,448,644,864,922,698,
Financial & Professional,761,713,517,812,948,503,394,894,626,972,854,576,359,458,895,610,694,632,806,444,356,819,607,638,474,797,330,300,878,588,692,592,678,237,220,669,397,467,417,521,296,244,840,796,925,724,1056,632,455,1177,743,1106,782,1192,726,364,760,833,973,354,367,368,431,915,1458,1200,1179,1137,683,502,1026,863,965,916,1110,561,354,915,849,2153,1062,1277,438,415,1108,1064,933,1418,1210,823,609,1343,1124,1113,1560,613,308,293,809,709,807,751,571,374,394,1024,760,883,1158,939,467,302,523,1013,923,824,1005,717,632,1038,604,906,
Religious,390,228,417,299,250,210,143,440,358,448,294,239,145,126,197,202,200,226,221,238,89,163,180,312,318,208,237,43,171,232,252,250,237,227,93,227,142,88,128,104,59,49,173,172,159,271,172,452,137,144,118,247,157,230,179,88,123,195,232,150,118,88,135,245,225,222,191,250,87,170,169,300,135,170,219,162,241,169,244,186,153,140,133,260,147,178,180,198,169,313,245,204,193,165,185,142,205,164,143,90,124,131,154,112,499,279,277,151,206,147,168,195,136,167,131,216,185,195,394,208,210,145,
Residential,2088,2635,2622,1925,2029,2204,1754,1924,1752,1893,2189,1763,1891,1748,2356,1916,2249,2253,1827,1909,1652,1896,1891,1991,2213,2309,2132,1925,2342,2631,2244,2080,1618,1491,1636,1667,2134,1973,2101,1646,2271,1613,2187,2239,2330,2495,3118,3673,2254,2160,2314,2230,2874,2650,3501,2191,2158,2155,2519,2260,2348,2076,2720,2853,3594,2561,3870,2146,2444,2439,2455,3624,2495,2218,2614,2885,2706,3146,2661,4446,2577,2184,3119,3330,2709,2464,2850,4208,2640,3358,3645,3942,4324,3869,4791,2266,2856,2112,1895,2211,2777,2238,2227,1863,2019,2441,3028,2463,3154,2444,2118,1919,1627,2626,2370,2251,2057,2093,2133,2279,1726,2066,
Transportation,644,689,937,672,677,623,427,1040,790,1042,901,608,972,861,989,1182,1433,899,1045,656,425,1085,857,1038,1149,1095,548,567,985,1160,966,981,920,708,530,1060,923,938,930,1084,778,865,1054,1327,1032,1376,1682,1184,894,1838,890,1467,1088,1499,2138,640,1236,1494,1481,1180,811,614,919,1396,2335,1684,1983,1954,1536,978,1427,1575,1338,1472,1648,1297,1046,1688,1139,2433,1849,1278,1417,2130,1440,1201,1322,2117,1497,1847,1556,1726,2133,1404,2385,805,1273,599,1072,1191,1241,1713,1219,783,1309,1785,1271,1083,2451,1432,1851,1024,1024,2137,1965,2128,1911,1496,1392,2690,1699,1885,
Energy & Storage,1048,866,1159,1583,871,625,460,881,920,1373,957,798,734,437,1413,1010,842,1052,1292,649,433,1107,852,668,1404,955,784,584,743,1125,1188,1182,1040,570,422,762,959,649,932,861,765,547,1294,1098,1396,1088,1412,1346,590,1228,1038,1216,975,1327,1352,559,1017,1294,1549,957,767,365,576,937,1530,1363,1809,1221,1641,978,1355,1199,974,1035,839,775,755,868,908,1649,1132,925,910,870,789,816,780,1508,1091,1133,1329,883,1246,1049,2204,576,733,443,538,627,1160,760,781,714,729,939,958,1006,1323,868,964,495,680,1035,917,1090,1127,953,934,1638,790,864,
Outdoor Recreation,540,443,494,443,353,287,399,450,398,516,558,337,564,690,621,769,547,366,675,419,259,573,553,374,516,315,300,227,387,467,162,499,306,360,349,159,317,261,243,318,443,209,311,594,710,622,638,610,452,452,684,291,680,665,793,520,430,651,636,627,435,385,476,426,525,653,875,824,659,482,598,659,574,603,531,664,450,681,627,700,998,699,636,642,434,535,637,1061,640,809,816,711,798,787,909,586,243,255,292,344,467,508,462,423,314,454,441,498,534,616,647,398,296,659,477,483,449,570,416,448,429,436,
Public agencies,1241,1818,2224,1515,1641,382,494,1853,1258,1536,1688,426,290,339,1597,1721,1602,1623,1525,381,514,1638,1465,1641,2496,1699,395,282,1919,2202,1688,2178,1838,381,385,1729,1702,1578,1846,1587,556,525,1972,2327,2198,2440,2261,1141,968,2261,1760,2254,1827,2273,1023,669,1958,2298,2141,535,557,201,519,1704,2724,2054,2505,2731,761,562,1350,1375,1269,1170,1339,481,534,1817,1535,2062,2073,1478,616,767,1418,1778,1514,1918,1608,621,833,1691,1733,1453,2136,1067,360,288,1179,1188,1246,1360,1072,483,655,1719,1400,1289,2015,1311,698,468,1629,1767,1570,1787,1585,619,986,1954,1629,1566,
