treatment,control,n_obs,r_squared,pre_coef,pre_se,pre_pval,flood_coef,flood_se,flood_pval,post_coef,post_se,post_pval
Accommodation,Combined,366.0,0.022883454499200484,0.06774662266434446,0.3979820793155926,0.8648329480117924,-0.06370933207197073,0.22120010342863916,0.7733339268001689,0.5194744315276173,0.33614890137820713,0.1222567897410269
Education,Combined,366.0,0.20386499765065003,-0.18263277704046416,0.3927310777273017,0.6419080694825767,-0.12651790201514224,0.21921724896281125,0.5638484009062934,0.301265445025892,0.32839551057958516,0.35894040446343045
Energy & Storage,Combined,366.0,0.02594531391734256,-0.009333914514054721,0.4266168269906827,0.9825445418630504,0.03582490381335557,0.2280364083411898,0.8751647102522372,0.21312273885997646,0.3270071459299449,0.5145706863965365
Entertainment,Combined,366.0,0.018795065540221922,-0.16424439366971097,0.3959386609531861,0.6782716095465025,0.05687629589548125,0.22655530637197754,0.8017768643153182,0.2398266585786188,0.33162034674968927,0.4695591975710506
Financial & Professional,Combined,366.0,0.009234995875716079,-0.11927659048127352,0.42085489945431576,0.7768587327831755,-0.21065637341733012,0.23451551859701938,0.36904589846358304,0.03817529465503787,0.3455172135900221,0.9120228510524329
Healthcare & Medical,Combined,366.0,0.04056243311398,0.03726318861475893,0.4225329552544305,0.9297256514790005,0.27032121855025243,0.2267244176872183,0.23314761889820845,0.4722688815176116,0.3306147351317513,0.1531604074093154
Outdoor Recreation,Combined,366.0,0.02687451566635901,0.1967036789854742,0.4090953646711096,0.6306401851189634,-0.247596959929475,0.2310403617474392,0.2838722951246916,0.04583119209964628,0.3330004670376235,0.8905320427705805
Public agencies,Combined,366.0,0.06409623818380472,-0.318745735655874,0.5520895302373028,0.5637069026564769,0.1862344648357143,0.2661933326150685,0.4841639790814306,0.4060734382328216,0.35516801478048377,0.25290254808323254
Retail & Shopping,Combined,366.0,0.20710367679404118,-0.17420072586299148,0.4169038872103687,0.6760612871492082,0.08053613796219378,0.2231627832233719,0.7181852935535837,0.3660096139625477,0.3212880728284048,0.2546220280572853
Transportation,Combined,366.0,0.0687762893063113,-0.2641520558421078,0.4019476147078002,0.5110649881260728,-0.23772682536804085,0.22753503261635216,0.2961190246002984,-0.005117527734167314,0.32440715510693086,0.9874138811080431
