treatment,control,n_obs,r_squared,pre_coef,pre_se,pre_pval,flood_coef,flood_se,flood_pval,post_coef,post_se,post_pval
Accommodation,Religious,244.0,0.8303075325323377,-0.06533559427352068,0.17324628268023606,0.7060803275216543,-0.14485230318542824,0.12181328982893797,0.2343870100788049,0.5996253464376218,0.21398196202832442,0.0050751653280113355
Education,Religious,244.0,0.9258555951163359,-0.31571499397833336,0.16081740707711178,0.0496241958103903,-0.20766087312860076,0.11817442221111707,0.0788768357634999,0.3814163599358981,0.20158325214298436,0.05847720331653882
Energy & Storage,Religious,244.0,0.8262433644111915,-0.14241613145192727,0.23157386743274003,0.5385598451883219,-0.04531806730010095,0.13382673630952063,0.7348866805443971,0.2932736537699702,0.19931349594285858,0.14117785327793764
Entertainment,Religious,244.0,0.8122672634486605,-0.29732661060758214,0.1684991461211605,0.07763798531324324,-0.024266675217976028,0.13128708492235144,0.8533570993242842,0.3199775734886129,0.206795189871766,0.12178698677813586
Financial & Professional,Religious,244.0,0.7196615709614638,-0.25235880741913613,0.2207790420326627,0.25302286533296625,-0.29179934453078643,0.14459087206645196,0.04358048357986892,0.11832620956504222,0.2284170332149695,0.6044393729826614
Healthcare & Medical,Religious,244.0,0.836119392842235,-0.09581902832310815,0.2239612405801517,0.6687693969430213,0.18917824743679335,0.13157869659529375,0.1505028944690008,0.5524197964276157,0.20517870079994582,0.007094326663215834
Outdoor Recreation,Religious,244.0,0.6479503667760012,0.06362146204760291,0.1974425394932569,0.7472801755489824,-0.3287399310429306,0.13888355042443173,0.01793203718113336,0.12598210700963966,0.20900121344860886,0.5466539214944028
Public agencies,Religious,244.0,0.7704527118939976,-0.4518279525937464,0.420032603977125,0.28206263983147095,0.1050914937222577,0.19174952972777964,0.5836462417109736,0.48622435314281676,0.24276843884414942,0.045195343673939126
Retail & Shopping,Religious,244.0,0.9187157529299297,-0.30728294280086604,0.21315109705857488,0.1494095260139637,-0.0006068331512601027,0.125342010667253,0.9961371218770484,0.4461605288725444,0.1897846725041462,0.018729195402207067
Transportation,Religious,244.0,0.8563713341094881,-0.3972342727799793,0.18217141371644566,0.029216555600542555,-0.3188697964814971,0.1329706091203337,0.016482741287299197,0.07503338717582977,0.19501845671701934,0.7004225102008264
