sector,n_obs,r_squared,pre_coef,pre_se,pre_pval,flood_coef,flood_se,flood_pval,post_coef,post_se,post_pval,weight_Religious,weight_Residential
Healthcare_Medical,122.0,0.1892276279538342,0.1455939680494212,0.13393838400150443,0.2770270936932516,0.3336746097915505,0.07585290370667258,1.0876611025896276e-05,0.40951491271594587,0.10569973968205704,0.00010692160444004759,0.6033312182558606,0.39666878174413944
Public agencies,122.0,0.06243484249915188,-0.2078505908961551,0.34954790592957363,0.5520928887160668,0.251411785679038,0.1450305197508698,0.08300514812298887,0.34162786378411325,0.15914253463805605,0.031818882445899754,0.5745581110357995,0.4254418889642006
Retail_Shopping,122.0,0.13018512060647336,-0.05653228979282358,0.10849927503582964,0.602340014103246,0.15055289061255614,0.057197443732352894,0.00848436031883751,0.29698884733486763,0.06755967517673761,1.1029012382248305e-05,0.47799463379041535,0.5220053662095846
Entertainment,122.0,0.048757832704914406,-0.049519846826267394,0.10422454084341351,0.6346967734943382,0.12478581535303473,0.06677624713327468,0.06166239116328323,0.1728145239071643,0.11758638604564162,0.14164806386444637,0.5242608712619092,0.4757391287380908
Energy_Storage,122.0,0.048631363234574065,-0.013519328711465911,0.1314061816807963,0.9180566363189422,0.024179357655023312,0.06518631644392987,0.7106919859888878,0.21481905889023833,0.08533214837592788,0.011820915391433873,0.9397064578308839,0.06029354216911612
Accommodation,122.0,0.23958443396102902,0.16761030413171388,0.08395127898497264,0.04587748491405291,-0.006345212603982728,0.057310182084315264,0.9118407485652803,0.4621685914904226,0.10527821620389516,1.1336441455219368e-05,0.6783569995640503,0.32164300043594984
Education,122.0,0.10961122865886108,-0.058843859993711514,0.03352445891865206,0.0792162820998149,-0.052101514673661656,0.054191533341792573,0.33633462635364053,0.22795833428597223,0.08029422020418894,0.004524978210873936,0.35093393698924985,0.6490660630107501
Outdoor Recreation,122.0,0.11564546196231973,0.25996412624883697,0.15997269446290843,0.10415124069722381,-0.21551347351727201,0.08297142713211698,0.009392096758358446,0.010360560094404184,0.09775502453759884,0.9155943035848647,0.8391580954261806,0.16084190457381944
Transportation,122.0,0.07308270746780554,-0.2255351380817726,0.13579085203569813,0.0967333666919915,-0.22207234911699264,0.06779322216184193,0.001053889454084971,-0.026805399256142795,0.09457662298106427,0.7768509053266565,0.8895490429374953,0.11045095706250471
Financial_Professional,122.0,0.06909715581086096,-0.25235880741913286,0.12355225263248752,0.04109928758613292,-0.2917993445307873,0.11284751914728292,0.009715770763276066,0.1183262095650353,0.14257690618527585,0.4065888403129958,1.0,0.0
